False Positive Rate,True Positive Rate,Class
0.0,0.0,0
0.024390243902439025,0.1,0
0.024390243902439025,0.4,0
0.04878048780487805,0.4,0
0.04878048780487805,0.5,0
0.0975609756097561,0.5,0
0.0975609756097561,0.7,0
0.14634146341463414,0.7,0
0.14634146341463414,0.8,0
0.2682926829268293,0.8,0
0.2682926829268293,0.9,0
0.3902439024390244,0.9,0
0.43902439024390244,0.9,0
0.43902439024390244,1.0,0
0.4634146341463415,1.0,0
0.5121951219512195,1.0,0
0.926829268292683,1.0,0
0.975609756097561,1.0,0
1.0,1.0,0
0.0,0.0,1
0.0,0.18181818181818182,1
0.0,0.8181818181818182,1
0.025,0.8181818181818182,1
0.025,0.9090909090909091,1
0.225,0.9090909090909091,1
0.275,0.9090909090909091,1
0.525,0.9090909090909091,1
0.575,0.9090909090909091,1
0.625,0.9090909090909091,1
0.625,1.0,1
0.875,1.0,1
0.925,1.0,1
1.0,1.0,1
0.0,0.0,2
0.0,0.03333333333333333,2
0.0,0.13333333333333333,2
0.047619047619047616,0.13333333333333333,2
0.047619047619047616,0.43333333333333335,2
0.047619047619047616,0.5,2
0.09523809523809523,0.5,2
0.09523809523809523,0.5666666666666667,2
0.09523809523809523,0.7,2
0.14285714285714285,0.7,2
0.14285714285714285,0.8666666666666667,2
0.23809523809523808,0.8666666666666667,2
0.23809523809523808,0.9,2
0.2857142857142857,0.9,2
0.2857142857142857,0.9333333333333333,2
0.3333333333333333,0.9333333333333333,2
0.3333333333333333,0.9666666666666667,2
0.38095238095238093,1.0,2
0.9047619047619048,1.0,2
1.0,1.0,2
